herb-id,Web.Link,Pinyin.Name,Chinese.Name,English.Name,Latin.Name,Properties,Meridians,Effect
1331,http://119.3.41.228/tcmid/herb/1331/,DING XIANG YE,???,Clove leaf,Folium Caryophylli,"Warm,Pungent","SPLEEN,STOMACH,KIDNEY","Treatment of hiccup, vomiting, anorexia, diarrhea and epigastric and abdomen pain with cold sensation in deficiency-cold syndromes of the spleen and stomach, impotence due to deficiency of the kidney yang."
1333,http://119.3.41.228/tcmid/herb/1333/,LONG DAN CAO,???,root of Przewalsk Gentian,Radix Gentianae,"Cold,Bitter","BLADDER,LIVER,GALLBLADDER","Treatment of jaundice caused by damp-heat, swelling and itching of the vulva with excessive leukorrhea, prolonged erection of the penis with spontaneous emission, eczema accompanied by itching, blood-shot eyes, impairment of hearing, pain in the costal regions and bitter taste in the mouth, convulsion."
1344,http://119.3.41.228/tcmid/herb/1344/,XUE YU TAN,???,Carbonized Hair,Crinis Carbonisatus,"Mild,Bitter,Punkery","BLADDER,STOMACH,LIVER","Treatment of hematemesis, epistaxis, hematuria, abnormal uterine bleeding, traumatic bleeding."
1345,http://119.3.41.228/tcmid/herb/1345/,DANG SHEN,??,"Pilose Asiabell Equivalent plant:  Codonopsis pilosula var  modesta,  Codonopsis tangshen , Codonopsis tubulosa ,  Codonopsis subglobosa,  Codonopsis canescens, Codonopsis clematidea",Codonopsis pilosula,"Mild,Sweet","LUNG,SPLEEN","To fortify spleen and supplement lung, boost qi and engender liquid."
1346,http://119.3.41.228/tcmid/herb/1346/,JUAN BAI,??,Tamariskoid Spikemoss Equivalent plant: Selaginella pulvinata,Selaginella tamariscina,"Mild,Pungent","LIVER,HEART","To quicken blood and free menstruation (raw), transform stasis and stanch bleeding (scorch-fry)."
1347,http://119.3.41.228/tcmid/herb/1347/,LI PI,??,pericarp of bretschneider Pear,pericarpium pyri,"Cool,Sweet,Slightly Sour","LUNG,STOMACH",
1369,http://119.3.41.228/tcmid/herb/1369/,TIAN DONG,??,Cochinchinese Asparagus Root,Radix Asparagi,"Cold,Sweet,Bitter","LUNG,KIDNEY","Treatment of dryness of lung marked by dry cough, or paroxysmal cough with sticky sputum, dry throat, thirst, ano constipation."
1376,http://119.3.41.228/tcmid/herb/1376/,YIN XING CAO,???,Chinese Siphonostegia,Siphonostegia chinensis,"Bitter,warm","HEART,SPLEEN","To clear heat and disinhibit damp, quicken blood and dispel stasis."
1379,http://119.3.41.228/tcmid/herb/1379/,SHI HU,??,Dendrobium,Herba Dendrobii,"Minor cold,Sweet","STOMACH,KIDNEY","Treatment of thirst due to impairment to yin or deficiency of body fluid, loss of appetite with nausea, fever in deficiency conditions after a severe disease, impaired vision."
1381,http://119.3.41.228/tcmid/herb/1381/,XIAN LING PI,???,all-grass of Longspur epimedium,herba epimedii,"Warm,Pungent,Sweet","LUNG,KIDNEY","Treatment of impotence, seminal emission, weakness of the limbs, rheumatic or rheumatoid arthralgia with numbness and muscle contracture, climacteric hypertension."
1387,http://119.3.41.228/tcmid/herb/1387/,SANG PIAO XIAO,???,Egg Capsule of Mantid,Ootheca Mantidis,"Mild,Sweet,Salty","LIVER,KIDNEY","To arrest spontaneous emission, to reduce excessive urination, and to cure turbid discharge from the urethra. cturnal emission, spermatorrhea, enuresis, frequent urination, turbid discharge with urine."
1393,http://119.3.41.228/tcmid/herb/1393/,LU XIAN CAO,???,"Chinese Pyrola Equivalent plant: Pyrola decorata,  Pyrola japonica,  Pyrola incarnata,  Pyrola rotundifolia ,  Pyrola atropurpurea,  Pyrola calliantha var tibetana",Pyrola calliantha  [Syn.  Pyrola rotundifolia  ssp.  chinensis],"Warm,Sweet,Bitter","LIVER,KIDNEY","To dispel wind-damp, strengthen sinews and bones, stanch bleeding."
1399,http://119.3.41.228/tcmid/herb/1399/,BAI JIE ZI,???,White Mustard Seed,Sinapis alba,"Warm,Pungent",LUNG,"To transform phlegm and expel rheum, dissipate binds and disperse swelling."
1401,http://119.3.41.228/tcmid/herb/1401/,ZI WAN,??,Tatarion Aster,Aster tataricus,"Warm,Pungent,Sweet,Bitter",LUNG,"To moisten lung and precipitate qi, relieve cough and dispel phlegm."
1412,http://119.3.41.228/tcmid/herb/1412/,DONG KUI ZI,???,seed of Cluster Mallow,Semen Malvae verticillatae,"Cold,Sweet","BLADDER,LARGE INTESTINE,SMALL INTESTINE","1. Treatment of dysuria and edema. Abutilon (Dongkuizi) is used with Poria (Fuling) and White atractylodes (Baizhu). 2. Treatment of scanty urine with blood and painful urination. Abutilon (Dongkuizi) is used with Plantain seed (Cheqianzi), Lygodium spores (Haijinsha) and Talc (Huashi). 3. Treatment of obstructed lactation and breast distension. Abutilon (Dongkuizi) is used with Amomum fruit (Sharen) and Ricepaper pith (Tongcao). 4. Treatment of constipation. Abutilon (Dongkuizi) is used with herbs that moisten intestines and move feces, such as Chinese angelica root (Danggui), Peach seed (Taoren) and Arborvitae seed (Baiziren)."
1419,http://119.3.41.228/tcmid/herb/1419/,SHAN DOU GEN,???,Tonkin Sophora Root,Sophora subprostrata [Syn.  Sophora tonkinensis],"Cold,Bitter","LUNG,STOMACH","To clear heat and resolve toxin, disinhibit throat and disperse swelling."
1421,http://119.3.41.228/tcmid/herb/1421/,MA QIAN ZI,???,Nut-vomitive Poisonnut Equivalent plant:  Strychnos wallichiana,Strychnos nux-vomica,"Cold,Bitter","SPLEEN,LIVER","To free network vessels and relieve pain, dissipate binds and disperse swelling."
1428,http://119.3.41.228/tcmid/herb/1428/,CONG BAI,??,Fistular Onion,Allium fistulosum,"Warm,Pungent","LUNG,STOMACH","To effuse exterior, free yang , resolve toxin, kill worms."
1434,http://119.3.41.228/tcmid/herb/1434/,MA CHI XIAN,???,Purslane,Portulaca oleracea,"Cold,Sour","LARGE INTESTINE,LIVER","To clear heat and resolve toxin, cool blood and stanch bleeding."
1441,http://119.3.41.228/tcmid/herb/1441/,XIANG ZHANG MU,???,stem of Yellow cinnamon,Ligum Cinnamomi Camphorae,"Warm,Slightly Pungent","SPLEEN,STOMACH",
1452,http://119.3.41.228/tcmid/herb/1452/,HAN SAN QI,???,Sanchi,Radix Notoginseng,"Warm,Pungent,Slightly Bitter","STOMACH,LIVER","Treatment of hemoptysis, hematemesis, epistaxis, hematochezia, abnormal uterine bleeding, traumatic bleeding, pricking pain in the chest and abdomen, traumatic swelling and pain."
1462,http://119.3.41.228/tcmid/herb/1462/,CAN SHA,??,Silkworm excrement,Excrementum Bombycis Mori,"Warm,Pungent,Sweet","SPLEEN,STOMACH,LIVER","1. Treatment of damp-heat obstruction syndrome. Silkworm excrement (Cansha) is used with Tetrandra root (Fangji), Coix seed (Yiyiren) and Talc (Huashi) in the formula Xuanbi Tang .2. Eczema. The decoction of the herb is used for external washing. 3. Treatment of turbid dampness blocking the spleen and stomach manifested as vomiting, diarrhea, cramps and abdomen pain. Silkworm excrement (Cansha) is used with Scutellaria root (Huangqin), Chaenomeles fruit (Mugua) and Evodia fruit (Wuzhuyu) in the formula Canshi Tang."
1467,http://119.3.41.228/tcmid/herb/1467/,PAO JIANG,??,Prepared Ginger,Rhizoma Zingiberis Praeparata,"Warm,Pungent","LUNG,SPLEEN,STOMACH","Treatment of hmatemesis, hemafecia, hemoptysis and metrorrhagia of asthenia-cold type."
1472,http://119.3.41.228/tcmid/herb/1472/,WANG BU LIU XING,????,Cowherb,Vaccaria segetalis  [Syn.  Vaccaria pyramidata ],"Mild,Bitter","STOMACH,LIVER","To quicken blood and free menstruation, promote lactation and disperse edema."
1474,http://119.3.41.228/tcmid/herb/1474/,TIAN DI DING,???,Manyflower Gueldenstaedtid Herb,Herba Gueldenstaedtiae Multiflorae,"Cold,Pungent,Bitter","LIVER,HEART",
1501,http://119.3.41.228/tcmid/herb/1501/,TIAN HUA FEN,???,Mongolian Snakegourd Root,Trichosanthes kirilowii,"Bitter, slightly sweet,cold","LUNG,STOMACH","To clear heat and engender liquid, disperse swelling and expel pus."
1509,http://119.3.41.228/tcmid/herb/1509/,JUE MING ZI,???,Sickle Senna Seed,Cassia tora,"Sweet, bitter,slightly cold","LIVER,LARGE INTESTINE",See Cassia obtusifolia.
1516,http://119.3.41.228/tcmid/herb/1516/,FEI ZI,??,Torrya seed,Semen Torreyae,"Sweet,neutral","LUNG,LARGE INTESTINE",For ascariasis and taeniasis. For constipation due to dryness of intestine.
1518,http://119.3.41.228/tcmid/herb/1518/,WU WEI ZI,???,Chinese Magnoliavine Equivalent plant: Schisandra sphenanthera,Schisandra chinensis,"Warm,Sour","LUNG,HEART,KIDNEY","To promote contraction and secure astriction, boost qi and engender liquid, quiet heart and spirit."
1554,http://119.3.41.228/tcmid/herb/1554/,TU MU XIANG,???,Elecampane Inula Equivalent plant: Inula racemosa,Inula helenium,"Warm,Pungent,Bitter","SPLEEN,LIVER","To fortify spleen and harmonize stomach, regulate qi and resolve depression, relieve pain and quiet fetus."
1563,http://119.3.41.228/tcmid/herb/1563/,FU PIAN,??,Common Monkshood Daughter Root,Rhizoma Aconiti Lateralis,"Extreme Hot,Pungent,Sweet","SPLEEN,HEART,KIDNEY","Treatment of collapse with cold limbs and faint pulse, impotence, frigidity, precordial and abdomen pain with cold sensation, vomiting and diarrhea or edema accompanied by aversion to cold and cold extremities, colds in patients with yang deficiency, chronic arthritis due to attack of cold and damp (marked by persistent severe joint pain, fixed in place and accompanied by heaviness sensation and numbness)."
1564,http://119.3.41.228/tcmid/herb/1564/,ZHI RU XIANG,???,Prepared Frankincense,Resina Olibani Praparata,"Warm,Pungent,Bitter","SPLEEN,LIVER,HEART",Treatment of pains caused by blood stagnation
1567,http://119.3.41.228/tcmid/herb/1567/,XIA TIAN JU,???,Common Adenostema Herb,Herba Adenostemmatis,"Warm,Pungent,Bitter",LIVER,
1569,http://119.3.41.228/tcmid/herb/1569/,XUE JIE,??,"Calamus gum, Dragon&#39;s blood",Sanguis Draconis,"Mild,Sweet,Salty","LIVER,HEART","Treatment of: 1. Hemorrhages due to external injuries. Dragon&#39;s blood (Xuejie) can be taken alone for external use, or it can be combined with Cattail pollen (Puhuang). 2. Chronic ulcers. Dragon&#39;s blood (Xuejie) is used with Frankincense (Ruxiang) and Myrrh (Moyao) for external use. 3. Swelling and pain due to blood stagnation caused by external injuries. Dragon&#39;s blood (Xuejie) is used with Frankincense (Ruxiang) and Myrrh (Moyao) in the formula Qili San."
1577,http://119.3.41.228/tcmid/herb/1577/,DA HUO XUE,???,Stem of Sargentgloryvine,Caulis Sargentodoxae,"Mild,Bitter","LARGE INTESTINE,LIVER","Treatment of acute appendicitis, amenorrhea, dysmenorrhea, rheumatic arthralgia, traumatic swelling and pain."
1592,http://119.3.41.228/tcmid/herb/1592/,LAO GUAN CAO,???,"Wilford Cranesbill Equivalent plant:  Erodium stephanianum , Geranium sibiricum , Geranium nepalense ,  Geranium pratense",Geranium wilfordii,"Mild,Pungent,Bitter","STOMACH,LIVER","To dispel wind-damp, free channels and network vessels, check dysentery and diarrhea."
1595,http://119.3.41.228/tcmid/herb/1595/,GUO LU HUANG,???,all-grass of Heavyspike Loosestrife,Herba Lysimachiae,"Minor Warm,Pungent,Sweet","BLADDER,LIVER,KIDNEY,GALLBLADDER",
1602,http://119.3.41.228/tcmid/herb/1602/,XIN YI,??,"Lily Magnolia Buds Equivalent plant: Magnolia liliflora, Magnolia sprengeri ,  Magnolia biondii , Magnolia denudata",Magnolia liliflora,"Warm,Pungent","LUNG,STOMACH","To dissipate wind-cold, relieve stuffed nose."
1630,http://119.3.41.228/tcmid/herb/1630/,JIN YING ZI,???,Cherokee Rose Seed,Rosa laevigata,"Mild,Sour,Punkery","BLADDER,LARGE INTESTINE,KIDNEY","To secure essence and reduce urine, astringe intestines and check diarrhea."
1651,http://119.3.41.228/tcmid/herb/1651/,CAO GUO,??,Tsaoko,Fructus tsaoko,"Warm,Pungent","SPLEEN,STOMACH","Treatment of accumulation of damp in the spleen and the stomach manifested by epigastric distension, fullness and pain accompanied by vomiting, malaria with paroxysms of chills and fever."
1654,http://119.3.41.228/tcmid/herb/1654/,CHAN SU,??,Toad Skin Secretion Cake,"Bufo bufo gargarizans,  Bufo melanostictus","Warm,Pungent",HEART,"To resolve toxin, relieve pain, open orifices and arouse spirit."
1655,http://119.3.41.228/tcmid/herb/1655/,GUANG XI E ZHU,????,rhizome of Kwangsi Turmeric,Rhizoma Curcumae,"Warm,Pungent,Bitter","SPLEEN,LIVER","Treatment of mass in the abdomen, amenorrhea due to blood stasis, distension and pain due to stagnation of undigested food, carcinoma of cervix at early stage."
1656,http://119.3.41.228/tcmid/herb/1656/,GAN JIANG,??,Common Ginger Dried Rhizome,Zingiber officinale,"Hot,Pungent","LUNG,SPLEEN,STOMACH,HEART,KIDNEY","To warm center and dissipate cold, return yang and free vessels, warm lung and transform rheum."
1660,http://119.3.41.228/tcmid/herb/1660/,MA HUANG,??,"Chinese Ephedra Equivalent plant: Ephedra equisetina , Ephedra intermedia ,  Ephedra minuta , Ephedra monosperma, Ephedra likiangensis,  Ephedra saxatilis, Ephedra gerardiana",Ephedra sinica,"Warm,Pungent,Slightly Bitter","LUNG,BLADDER","To effuse sweat and resolve exterior, diffuse lung and calm asthma, disinhibit water and disperse edema."
1670,http://119.3.41.228/tcmid/herb/1670/,BAI GUO YE,???,Ginkgo Leaf,Ginkgo biloba,"sweet,bitter,astringent,neutral","HEART,LUNG","To quicken blood and nourish heart, constrain lung and astringe intestines."
1671,http://119.3.41.228/tcmid/herb/1671/,GUANG ZAO,??,fruit of Axillary choerospondias,Fructus Choerospondiatis,"Cold,Sour,Punkery","SPLEEN,LIVER","Treatment of stagnation of qi and blood with pectoral pain, palpitation and shortness of breath, uneasiness in mind."
1692,http://119.3.41.228/tcmid/herb/1692/,LU LU TONG,???,Beautiful Sweetgum,Liquidambar formosana  [Syn.  Liquidambar taiwaniana],"Mild,Bitter","STOMACH,LIVER,KIDNEY","To expel wind and eliminate damp, soothe liver and quicken network vessels, disinhibit water."
1695,http://119.3.41.228/tcmid/herb/1695/,HAN SHI,??,,Massa Hanshi Fermentata,"Cold,Pungent,Bitter","LUNG,KIDNEY",
1698,http://119.3.41.228/tcmid/herb/1698/,LING MAO XIANG,???,Civet,Viverra zibetha,"Warm,Pungent","LIVER,HEART,KIDNEY","To move qi , quicken blood, quiet spirit, relieve pain."
1702,http://119.3.41.228/tcmid/herb/1702/,SHA YUAN ZI,???,Flatstem Milkvetch Seed,Semen Astragali Complanati,"Sweet,warm","LIVER,KIDNEY","Treatment of backache, nocturnal emission and premature ejaculation in deficiency of yin of the kidney, turbid discharge with urination, excessive leukorrhea, dribbling urination after urination, dizziness and blurred vision."
1708,http://119.3.41.228/tcmid/herb/1708/,BAI MA GU,???,all - grass of Snow of June.,Herba Serissae,"Cool,Pungent,Bitter","SPLEEN,LIVER",
1712,http://119.3.41.228/tcmid/herb/1712/,DI FU ZI,???,fruit of Belvedere,Fructus Kochiae,"Cold,Bitter",BLADDER,"Treatment of painful and difficult urination, pruritus vulvae with leukorrhea, rubella, eczema, cutaneous pruritus."
1738,http://119.3.41.228/tcmid/herb/1738/,ZHI HUANG JING,???,Prepared Rhizome of Fragrant Solomonseal,Rhizoma Polygonati Praeparata,"Mild,Sweet","LUNG,SPLEEN,KIDNEY","Treatment of weakness of the spleen and the stomach marked by lassitude, dryness in the mouth and anorexia, dry cough due to deficiency of yin of the lung, deficiency of vital essence and blood, diabetes caused by internal heat."
1739,http://119.3.41.228/tcmid/herb/1739/,JI NEI JIN,???,Chicken’s Gizzard Endothelium,Gallus gallus domesticus,"Mild,Sweet","BLADDER,SPLEEN,STOMACH,SMALL INTESTINE","To fortify spleen and disperse food, rough essence and arrest emission, disperse concretion and transform stone."
1766,http://119.3.41.228/tcmid/herb/1766/,DA SUAN,??,Garlic,Allium sativum,"Warm,Pungent","LUNG,SPLEEN,STOMACH","To warm center and move stagnation, resolve toxin, kill worms."
1767,http://119.3.41.228/tcmid/herb/1767/,CAO WU,??,Kusnezoff Monkshood Root,Radix Aconiti Kusnezoffii,"Hot,Pungent","SPLEEN,HEART,KIDNEY","Treatment of rheumatic and rheumatoid arthralgia, precordial and abdomen pain with cold sensation, abdomen pain caused by cold, anaethesia."
1784,http://119.3.41.228/tcmid/herb/1784/,XI HONG HUA,???,Saffron,Stigma Croci,"Mild,Sweet","LIVER,HEART","Treatment of amenrrhea with abdominal mass formation, blood stasis after childbirth, eruptions in infectious diseases, emotional dejection, mania."
1801,http://119.3.41.228/tcmid/herb/1801/,XIAO JI,??,Setose Thistle,Cirsium setosum,"Cool,Sweet,Bitter","LIVER,HEART","To cool blood and stanch bleeding, clear heat and disperse swelling."
1813,http://119.3.41.228/tcmid/herb/1813/,YI TANG,??,moltose,Saccharum granorum,"Warm,Sweet","LUNG,SPLEEN,STOMACH",
1844,http://119.3.41.228/tcmid/herb/1844/,CHONG WEI ZI,???,Motherwort Fruit,Fructus Leonuri,"Minor cold,Sweet","LIVER,HEART,KIDNEY","Treatment of menstrual disorders, amenorrhea, hysmenorrhea, inflammation of the eye with formation of corneal opacity, dizziness and headache."
1849,http://119.3.41.228/tcmid/herb/1849/,CHEN PI,??,Dried Tangerine Peel,Pericarpium Citri Reticulatae,"Warm,Pungent,Bitter","LUNG,SPLEEN","Treatment of distension and fullness sensation in the chest and epigastrium with anorexia, vomiting and diarrhea, cough with copious phlegm."
1881,http://119.3.41.228/tcmid/herb/1881/,GU JING CAO,???,Pipewart,Eriocaulon buergerianum,"Mild,Sweet","STOMACH,LIVER","To dispel wind and dissipate heat, brighten eyes and eliminate eye screens."
1882,http://119.3.41.228/tcmid/herb/1882/,DAI MAO,??,Turtle,Carapax Eretmochelydis,"Cold,Sweet,Salty","LIVER,HEART",
1883,http://119.3.41.228/tcmid/herb/1883/,ROU CONG RONG,???,Desertliving Cistanche Equivalent plant: Cistanche salsa,Cistanche deserticola,"Warm,Sweet,Salty","LARGE INTESTINE,KIDNEY","To supplement kidney and invigorate yang , boost essence and blood, moisten intestines and free stool."
1893,http://119.3.41.228/tcmid/herb/1893/,BIE JIA,??,Turtle Shell,Carapax Trionycis,"Cold,Salty","SPLEEN,LIVER,KIDNEY","Treatment of fever due to deficiency of yin, consumptive fever, dizziness, tremor or fainting due to deficiency of yin, amenorrhea, mass in the abdomen, chronic malaria with splenomegaly."
1906,http://119.3.41.228/tcmid/herb/1906/,GU YA,??,Millet Sprout,Fructus Setariae Germinatus;Fructus Oryzae germinatus,"Mild,Sweet","SPLEEN,STOMACH","Treatment of retention of undigested food with abdominal distension and foul breath, weakness of the spleen and the stomach with anorexia.Fructus Setariae Germinatus (stir-fried):Anorexia.Fructus Setariae Germinatus (charred): Retention of undigested food."
1907,http://119.3.41.228/tcmid/herb/1907/,MING DANG SHEN,???,Medicinal Changium,Changium smyrnioides,"Minor cold,Sweet,Slightly Bitter","LUNG,SPLEEN,LIVER","To moisten lung and transform phlegm, nourish yin and harmonize stomach, resolve toxin."
1911,http://119.3.41.228/tcmid/herb/1911/,LING YANG JIAO,???,Antelope Horn,Cornu Saigae Tataricae,"Cold,Salty","LIVER,HEART","Treatment of high fever with convulsion and impairment of consciousness, eclompsia, epilepsy, mamia, headache and dizziness, redness of the eye with corneal opacity, epidemic fibrile diseases with eruption, carbuncle, abscess and sores."
